TEXT,Label
vacation wasted ! of…,0
"oh wynwood, you're so funny! : …",1
been friends since 7th grade. look at us now we all following our dreams doing what we love and…,2
this is what it looks like when someone loves you unconditionally oh puppy brother. …,3
this white family was invited to a black barbecue and i've never laughed so hard in my life,3
"track season 2016, i'm ready for ya of the incarnate word",4
merry christmas you filthy little animals. wearing a ugly sweater featuring santa…,5
"westenders , toronto",6
maxwell heads home akron city hospital,2
"story on saturday 136 collins ave, miami beach, fl 33139 ladies contact me to join me in my…",7
i love my dog more than most humans gate,8
dragged my loving husband to a live episode of ️ center,9
can't wait to meet you …,10
"happy 4th ya'll! , california",11
two hanging this ️ day! follow our journey…,12
lincoln memorial,11
"h o m e i made it.18,546 km (11,524 mi)2 flights...25 hours flying time...5 meals...and 7…",13
"was shining, shimmering, and splendid! such a talented cast : broadway in san…",2
california days. ️..... …,12
️family ️ 'n'wild las vegas,9
these have been such a hit ! ready to ride harley davidson (tons of cities from hawaii to…,7
happiest in the sunshine and by the water lake,13
you should have known (i was gonna show my glitter titts ) amazing premiere for,13
link in my bio …,7
"something out of the ordinary city, california",13
baby courtney... so hot right now ... …,14
"and i'm quick, cut a nigga off, so don't get comfortable... …",7
"️ -in-bay, south bass island",9
first day of the year was . ashland ski area,7
"see you all tomorrow, monday, when our showrooms re-open for business after this …",11
a child is born christian school,14
can we talk about how handsome my best friend is? ️ woods…,9
i think i'll keep him... celebrating aunt denice & uncle steve 30th anniversary!…,15
"life is beautiful, but this lighting is more beautiful",4
. ️ this specially formulated hormone replacement cream was crucial for my wellbeing for…,9
"grateful for this one lawn, illinois",15
"another day, another shoe picture i love all the little details inside disneyland! always make…",0
"who said i was an angel? when you look at me, what do you see? , florida",13
missing this so much rein stadium,9
ry lounge is def the move tomorrow rylounge restaurant and…,7
this guy cracks me up.,3
starting a new highlights things highlights,2
"it's so beautiful and so hot! i've been crying for summer and here it is, 96 degrees at 630pm. …",16
they spelled my last name wrong but uo let's gooo!!!!,7
today's hike was on the yuba river! i'm so grateful for the past 4 days spent with…,17
confession.... i took this gig so i could come down here and eat... …,0
some things i can never get tired of! ️ …,9
photo so dope s/o to the best photographer in the world of…,16
not the first time i've gotten in the way. sorry garrott phillips collection,1
you're welcome ladies! tim!!,0
playing at the today with and the_dopest_chicagoan …,10
coat rack goals at tonight's rooftop soirée …,14
happy birthday to my favorite little niece 5.4oz 18.75in and the…,2
we ️ you fitz!!,9
enjoyed beautiful fall with family …,8
