Text	TrueLabel	PredictedLabels(Top-5)
tattoo number 2! "but the lord stood with me and gave me strength..." tattoo gallery	9 ❤	['😜', '💕', '😂', '💜', '😍']
again with the weak form but cool slowmos evolution	16 😎	['😎', '📸', '😁', '😂', '😊']
my beautiful oldest daughter miriam with the black hair , alabama	14 💙	['😍', '💜', '✨', '📸', '❤']
nyc memories thank you for my families!!thank you for nyc teachers!!thank you for my… york	1 📸	['📷', '😘', '✨', '🇺🇸', '❤']
dbar ... going to miss you!! seasons hotel toronto	8 😘	['💕', '💜', '😘', '😉', '❤']
time off …	16 😎	['😁', '😊', '😎', '😂', '😜']
"the more ability you have, the more responsibility you can take" we are all able yet our lack of discipline wo…	19 💯	['😎', '💯', '😂', '❤', '😉']
enjoying our last day together with some good old fun in the sun ️	9 ❤	['☀', '😊', '😁', '😎', '😜']
love spending days with my girl :-) ️ 's fall festival	9 ❤	['❤', '💕', '😘', '💜', '😍']
hiding behind opie! teasing my hills	3 😂	['📷', '📸', '😎', '☀', '😁']
for you miami beach	15 💕	['☀', '😎', '📷', '😜', '💙']
after 4 years of living in la, i finally got around to do a drive-by it was very pretty …	10 😁	['😁', '😊', '😍', '😂', '😜']
en nyc theater	9 ❤	['🇺🇸', '📷', '✨', '😍', '📸']
new single- its a shame 2k17 ft. prod by chico ona beat model:	7 🔥	['🔥', '✨', '📸', '😍', '😉']
here's to another argiro / parker bowles christmas for the books! thankful for our …	5 🎄	['🎄', '💕', '❤', '💙', '✨']
student recreation center	4 😉	['😍', '😉', '❤', '🇺🇸', '😊']
i'm doing it for my city , massachusetts	5 🎄	['📸', '💯', '✨', '📷', '😎']
i had a great time chatting it up with my friend see soon lobster bar	8 😘	['😊', '😁', '💕', '💜', '😜']
this is how we get ready for a storm. ️ 's place	9 ❤	['✨', '😊', '💯', '📸', '😜']
had to take care of some business last night... risky business	16 😎	['😎', '📸', '😉', '😁', '💯']
went to my first today & ️'d it! the rodeo queens from all over the country, the rodeo…	9 ❤	['😁', '😊', '✨', '😂', '😍']
ahhh today's the day.... spa at pebble beach	15 💕	['☀', '😎', '📷', '💙', '😜']
she's ready for	5 🎄	['😜', '📸', '💯', '🔥', '😎']
when the fog clears at cora lake lake	15 💕	['☀', '🇺🇸', '📷', '😎', '💙']
new music tomorrow. :	1 📸	['🔥', '✨', '📸', '😍', '📷']
san diego's own buckfastsuperbee at their home base may '16 :…	6 📷	['💙', '❤', '😊', '😉', '😍']
so thankful for this girl. no one could ever replace you , ohio	9 ❤	['💕', '❤', '💙', '💜', '😁']
used all products on this beauty right here …	2 😍	['😍', '😂', '🔥', '😉', '😎']
can't wait to be reunited with this lovely lady in 5 days! i sure do miss you! …	9 ❤	['💜', '💕', '❤', '😘', '😉']
laid back kind of day 'in beauty salon	4 😉	['😁', '😊', '💜', '☀', '😎']
tennis billie jean king national…	3 😂	['📷', '🔥', '😎', '😂', '😊']
my "keepin' it classy" office gis xmas tree!	3 😂	['🎄', '😜', '😎', '📷', '😁']
easy livin' down in paradise head - outer banks (nc)	12 ☀	['☀', '😂', '📷', '😎', '😜']
a few shots from yesterday , arizona	1 📸	['📸', '📷', '😎', '😊', '😉']
great shoot today with one of the dopest stores in columbus. check them out	7 🔥	['😁', '😊', '📷', '📸', '😎']
4th of july bliss ....sitting outside with the girls and a good friend....grilling and…	11 🇺🇸	['🇺🇸', '😊', '☀', '😁', '😎']
so much fun celebrating kelsey & mike last night... columns…	14 💙	['😜', '😊', '😁', '💕', '💜']
wouldn't want to travel 1,260 miles with anyone but you guys …	15 💕	['😉', '😂', '😜', '❤', '😎']
love you man, things do get better , ohio	19 💯	['💕', '❤', '😘', '💜', '💙']
take some time for you this morning. come rise and shine with me purefitness517 8am for a fun…	17 😊	['✨', '😎', '😁', '😊', '😉']
merry christmas from me and my best friend park, minnesota	5 🎄	['🎄', '💕', '❤', '💜', '😘']
sunday funday with my favorite guy ️ market co. studemont	9 ❤	['❤', '😊', '💕', '😍', '💙']
so glad we finally picked out our outfits for nyc!! big apple here we come! jesus…	16 😎	['😁', '😊', '😍', '💙', '😜']
book djgboxatl aka for your next event...... deposit is required to hold…	7 🔥	['😉', '😍', '📷', '😊', '🔥']
like i went to bahamas! thanks orlando suite…	2 😍	['😂', '😘', '😜', '😉', '😁']
so grateful for and our nugget zeffirellipup ️ ️ ️ happy thanksgiving everyone…	9 ❤	['🇺🇸', '😘', '😊', '❤', '💕']
happy birthday to my favorite trainer/friend rooftop	15 💕	['😘', '❤', '😊', '💜', '💕']
where comes from, the & hypergalaxyrecs studio ️.…	9 ❤	['📷', '😉', '📸', '😜', '💯']
my wedding date. ballroom and lounge	9 ❤	['💕', '🔥', '😘', '😍', '❤']
an absolutely beautiful day ️ ️congratulations to heidi and dj love…	9 ❤	['☀', '😍', '😎', '😁', '😊']
saturday relaxed …	16 😎	['😜', '🔥', '😁', '✨', '😎']
to-go orders up ! happy halloween ... …	3 😂	['🇺🇸', '😘', '😊', '💜', '❤']
ooooooooh i love surprise mail! thank you so much to for the goody bag of…	2 😍	['😘', '❤', '💕', '💜', '💙']
front & center. chinatown, nyc.lookbook shot for with	6 📷	['📸', '📷', '😎', '😁', '🔥']
because i love these two so much!!	18 💜	['❤', '💕', '😘', '💜', '💙']
inhaling the bottom hopper. paired with a stand up head, the…	7 🔥	['✨', '🇺🇸', '😂', '📷', '💜']
towering peaks, thrilling passes, thundering waterfalls, and titillating wildflowers , this run…	4 😉	['😜', '📸', '😍', '😂', '😉']
"it's mouth and emily in the morning!" lee is such a gentleman and we seriously look like a…	12 ☀	['😂', '😉', '😜', '📸', '📷']
️beautiful blonde baby lights by madalyn in the umall! ️ from hairbymadalynsmith -…	12 ☀	['💙', '✨', '😍', '😘', '💕']
": try it " starting now	17 😊	['😂', '😉', '💯', '🔥', '💙']
the good times are endless with this guy! …	2 😍	['😊', '☀', '😎', '😁', '😉']
good afternoon 's pizza	7 🔥	['😊', '☀', '😁', '😎', '😉']
vs **kyou angeles, california	3 😂	['📸', '📷', '✨', '😎', '💙']
i'm snapchat famous. 44	3 😂	['😂', '😉', '😎', '💯', '📸']
i ain't sharing west des moines sw	0 😜	['📸', '😎', '📷', '😊', '😜']
me and snapdogg dude hella cool told me to keep it going	19 💯	['😎', '😜', '😂', '😁', '😉']
nice night for a fire! , ohio	7 🔥	['🔥', '✨', '💕', '😉', '😜']
when i'm not eden by eden sassoon pilates ... i'm vibrating at platefit come with me…	0 😜	['😉', '😎', '✨', '🔥', '😊']
loving life and loving my family is of the utmost importance but…	15 💕	['❤', '💕', '💜', '😍', '💯']
denver, i've missed you more than words can express. station (denver, colorado)	14 💙	['💜', '💕', '😍', '❤', '💯']
these changed my life, haha. best tacos i've had since .	7 🔥	['💕', '💜', '💙', '😘', '❤']
let's go pats! place has a sports grill ( center in atlanta, ga)	2 😍	['😍', '❤', '😊', '😉', '😎']
home of the free land of the brave . happy 4th …	11 🇺🇸	['🇺🇸', '😊', '😘', '💙', '💜']
love yourself girl, or nobody will ross	15 💕	['❤', '💕', '😘', '💜', '😍']
repost from wedisson_com using repostregramapp - december wedisson award winneremma davidson,…	6 📷	['📷', '✨', '🔥', '💯', '🎄']
just beauty beach / sea wall	14 💙	['☀', '😎', '📷', '😜', '😉']
from …	19 💯	['😜', '📸', '😍', '😂', '😉']
unofficial last day of summer vibes ️ terrace - madison	12 ☀	['☀', '😎', '😁', '📷', '😊']
just trying to lounge this weekend... | : shaun.sandiego diego, california	1 📸	['😂', '📸', '📷', '😉', '😜']
even at the bar you can new orleans riverside	4 😉	['🔥', '✨', '😍', '📸', '💯']
pic favorite place w my favorite person ️ old spaghetti factory	9 ❤	['😍', '❤', '💕', '💜', '💙']
18 days boy abe's souvenir	11 🇺🇸	['💙', '☀', '😊', '😁', '📷']
everyone falls in love sometimes thanks for being the best out…	15 💕	['😘', '💕', '❤', '💜', '💙']
it's time for some ! that's what makes this boy happy!	10 😁	['💙', '😁', '😊', '😎', '💯']
even though the weather wasn't that great, atlantis was	10 😁	['☀', '😎', '😉', '😊', '📸']
(at park in anaheim, ca)	5 🎄	['📷', '📸', '😎', '❤', '☀']
omg! feeling excited theater at wynn las vegas	2 😍	['😁', '✨', '😉', '😍', '🔥']
glass animals city music hall	13 ✨	['📸', '💜', '📷', '✨', '🔥']
️all you need is love, love... love is all you need ️ york, new york	9 ❤	['❤', '😍', '😘', '💕', '💜']
my is broken! i spent my very last day with him inadvertently. my…	9 ❤	['😁', '☀', '😊', '😎', '💙']
the abbi denton made an appearance in good ole bg tops bg	15 💕	['😊', '☀', '😁', '😎', '😉']
esther is proud of her creation evans	10 😁	['💜', '🇺🇸', '😁', '❤', '😍']
anotha one	2 😍	['😜', '📸', '😍', '😂', '😉']
christmas love. …	6 📷	['🎄', '❤', '✨', '😍', '😊']
i heard was playing somebody important tonight go…	4 😉	['🔥', '📸', '😜', '😉', '😂']
christmas sale still on! save extra 25% now!!! ️ handmade maternity dresses…	9 ❤	['🎄', '✨', '😉', '😁', '❤']
releasing the first episode next friday 20 of october. made with much ️ in miami. , florida	9 ❤	['😎', '☀', '✨', '😜', '🔥']
happy birthday gorgeous	15 💕	['😘', '🇺🇸', '😊', '❤', '💜']
️ tompkmike . louis	9 ❤	['💯', '😘', '📸', '😎', '😊']
wouldn't wanna dance with anybody else high school stadium	9 ❤	['💙', '💯', '💜', '😉', '💕']
already having withdrawals :( thank you for a great class! and thank you to my…	15 💕	['😊', '😘', '😁', '❤', '💜']
no one ever said it would be easy... but they all say that it's worth it! many people get…	19 💯	['😂', '💯', '😁', '💕', '😊']
ready. | : chocolatedropmakeitpop at…	6 📷	['😜', '📸', '😍', '😂', '😉']
if i keep it ...i wasn't ready. had i known i'd end up at the adidas office in front of some…	19 💯	['😁', '😂', '💜', '😜', '📷']
back 2 da bullshit! beno49ers , washington	3 😂	['💯', '📸', '🔥', '😂', '😁']
spinning myself into this crazy busy birthday week : …	1 📸	['😘', '😜', '💕', '💜', '❤']
"resurrection power rises out of crucifixion scandal" ,…	12 ☀	['💯', '📸', '😘', '😂', '😜']
jayden was having a good time , virginia	10 😁	['😊', '😁', '😎', '😜', '😂']
nothing like some poke after all the thanksgiving food i've eaten since wednesday . what's…	3 😂	['😂', '😉', '📸', '😜', '📷']
inlet, south carolina	9 ❤	['☀', '💕', '💙', '💯', '😊']
yay for and for . oops. photo!!	3 😂	['😊', '😍', '😁', '💜', '💙']
everything i'm not made me everything i am :	1 📸	['😜', '📸', '😍', '😂', '😉']
never had such a hard time finessing a guy out of his shirt . teammate tuesday with the one guy…	3 😂	['😂', '😁', '😎', '😉', '😜']
:if you are looking for amazing cupcakes or cakes crystallisette…	6 📷	['😍', '✨', '❤', '📸', '😘']
thanksgiving blessings with my so much to be thankful…	9 ❤	['📷', '❤', '💕', '✨', '😉']
yo bro check out the mixtape it's some	7 🔥	['🔥', '💯', '😎', '😂', '📸']
portraits from my travels. llooks like a painting... yosemite national park	2 😍	['📸', '📷', '😂', '😎', '😜']
bamboleoby awesome flamenco arabe class today. …	9 ❤	['😎', '😉', '😜', '😁', '🔥']
good to see sybil again! …	9 ❤	['😊', '☀', '😁', '😎', '😉']
sardadezinha orleans, louisiana	14 💙	['💯', '🇺🇸', '😂', '😜', '😁']
learned how to light and mask out green screen on the dit cart today and i'm in love	2 😍	['❤', '💕', '💜', '😘', '😍']
we are eating in an old converted church...the alter is the bar guild	3 😂	['😜', '😂', '😍', '😉', '😎']
dinner time sushi and bar	2 😍	['😜', '😊', '😁', '😉', '😎']
on my way to san francisco	3 😂	['😉', '😂', '💯', '✨', '📸']
best friends reunited for the weekend! yay! , oklahoma	10 😁	['💕', '💜', '💙', '❤', '😍']
when you look outside your window and see this …	2 😍	['😂', '😍', '📷', '😉', '😜']
thank you you're so good to the world and me' ️...........…	9 ❤	['😊', '😘', '😁', '✨', '❤']
so happy to see deb, one of my bffin cincinnati!	9 ❤	['🇺🇸', '😘', '😊', '💜', '❤']
never made it to the top.but check out those calves!haha. went exploring yesterday, around…	17 😊	['🔥', '💯', '😁', '😎', '📸']
view from today's adventure with & ( :…	6 📷	['😍', '😎', '😉', '✨', '😊']
not all of our are , but, when they are they're this good! …	7 🔥	['😜', '📸', '😍', '😂', '😉']
when you realize you might run over your mom in slow motion. …	3 😂	['😂', '😜', '😊', '❤', '😁']
shook him , california	3 😂	['📸', '📷', '✨', '😎', '💙']
whadda beaut falls toronto	2 😍	['💕', '😉', '💙', '😜', '😍']
new rock monkey outfitter hats, tees and stickers! and really cool ones come check us out!…	16 😎	['😎', '🔥', '📸', '✨', '💯']
day 5 of ️ "honor thy father + thy mother".... just gives me another excuse to…	9 ❤	['😁', '😉', '😎', '😊', '😂']
my quads are on fire but i survived the third year of the shuttle series of the space coast half…	7 🔥	['✨', '😊', '📷', '😜', '💙']
i love my clients!!! we are one & the same _mindy_xoxo_ & all of my clients i can't mention…	2 😍	['❤', '💕', '😘', '💜', '😍']
lunch ( food + bread - in venice, ca)	9 ❤	['😊', '😍', '😎', '😂', '😁']
christmas morning coffee done the right way! - drinking a double shot - kenya karimikui by …	5 🎄	['🎄', '📷', '☀', '😊', '📸']
took the kid out for mexican. mexicana	14 💙	['😂', '📸', '💜', '😊', '😜']
christmas eve snugs of union	5 🎄	['🎄', '✨', '❤', '😍', '😊']
so happy and to be in right now!! thank you to my bestie …	17 😊	['😘', '😊', '🇺🇸', '💜', '❤']
happy birthday, america! .... …	11 🇺🇸	['🇺🇸', '😘', '😊', '💜', '❤']
